category,name,alias
museums,Museums & Sites,Museum
beerbar,Bar,Beer Bar
cocktailbars,Bar,Cocktail Bar
sportsbars,Bar,Sports Bar
wine_bars,Bar,Wine Bar
beergardens,Bar,Beer Garden
karaoke,Bar,Karaoke
restaurants,Dinner & Lunch,Restaurant
arabian,Dinner & Lunch,Arabian
chinese,Dinner & Lunch,Chinese
german,Dinner & Lunch,German
greek,Dinner & Lunch,Greek
italian,Dinner & Lunch,Italian
japanese,Dinner & Lunch,Japanese
spanish,Dinner & Lunch,Spanish
thai,Dinner & Lunch,Thai
vegetarian,Dinner & Lunch,Vegetarian
